HS Code,HS Description,Country Name,Financial_Year,INR_Cr,USD_Mn
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2022-23,4373.8817807,557.5182921728
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2023-24,3720.7226675,449.137562
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2024-25,8966.9504963,1072.308646
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2025-26,8543.5045444,975.27052
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2026-27,8929.4868334,956.662504
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,CANADA,2019-20,0.0,0.0
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,CANADA,2020-21,0.0,0.0
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,CANADA,2021-22,0.0,0.0
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,CANADA,2022-23,0.0,0.0
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,CANADA,2023-24,1.8165107,0.220332
